product,title,rating,body
"JBL Flip 4, Black",Gift FOR BOYFRIEND,5,It’s a great speaker got it for my boyfriend and it came on time thank you !! LOVE THE PRODUCT
"JBL Flip 4, Black",Truly withstood the test of time,5,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions and subtitles off, selectedAudio TrackFullscreenThis is a modal window.


 This prodigious product is beyond commendable, having withstood the rigors of consistent usage in a myriad of climatic conditions and serving as my quintessential speaker for an array of events. Astonishingly, despite being submerged in a pool for an entire day, it persevered and continues to project clear and resonant sound to this very day. Its unparalleled performance is nothing short of remarkable, and I am proud to attest to its enduring reliability. While there may be certain limitations in terms of sound quality, its cost-effective price point more than justifies its value as an exceptional investment. I have already recommended this speaker to many of my cohorts and I highly encourage you, the reader, to consider this an option as a portable speaker."
"JBL Flip 4, Black",Water proof,5,One of the best gift to gove a family member
"JBL Flip 4, Black",SOUNDS NICE,5,SOUNDED NICE THE ONE TIME I USED IT BEFORE SOMEONE STOLE IT FROM ME.
"JBL Flip 4, Black",Daughter loves this!,5,We bought this for our daughter for her birthday and she loves it. The sound quality is great. She uses it with her cell phone.
"JBL Flip 4, Black",This is the absolute best!,5,"My daughter bought me one several years ago. I started to have issues with it (it was seven years old) Rather than mess with it, I found a new one and bought it. My daughter took the old one and it is working again"
"JBL Flip 4, Black",Superb sound quality!,5,As advertised. Sturdy. Did not disappoint. Highly recommend.
"JBL Flip 4, Black",Great sound easy to carry around when doing yard work,5,This little speaker is pretty awesome great sound carried around while doing yard work sounds great
"JBL Flip 4, Black",Las mejores bosinas bloetooth,5,Me encantó es de muy buena calidad de audio sonido bufers son súper
"JBL Flip 4, Black",Todo en orden,5,Todo está en orden
"JBL Flip 4, Black",Got this for a Christmas gift for my daughter.,5,I like this item. Like the quality of the sound.
"JBL Flip 4, Black",Awesome!!! That’s all,5,Awesome^3Very impressed with the sound and connection quality for the price. Definitely got double my moneys worth!!!!
"JBL Flip 4, Black",Great sound,5,Loved it so much that I bought another one ??
"JBL Flip 4, Black",Great sound,5,I bought this speaker to put on my backpack when hiking.  It's lite enough to take with no issue.  The sound is great. Not sure about the battery life yet.
"JBL Flip 4, Black",Works as expected,5,Works as expected
"JBL Flip 4, Black",JBL flip 4,5,Amazing sound for such a small speaker.In the morning in the bathroom if you want to have a blast with the music you like to start the day in style ... get one of these.
"JBL Flip 4, Black",For the price?,5,C’mon. This is such a high quality speaker! Love it!
"JBL Flip 4, Black",Amazing Little Speaker! Get multiple!,5,"I've had these for about 2 1/2 months....and all I can say is....Wow!! These are so much better than I expected!I bought 2 for stereo sound and they are astounding! I love them!!SOUND QUALITY:Fantastic!  It is amazing that sound this good comes from such small speakers. Great bass too.They make my ears happy...and the cost of them made my wallet happy too!! Win-win!LOUDNESS:I compared 2 different brand bluetooth speakers in a gym 72ft x 40ft.  I couldn't even hear the 1st test speaker. Then I tried the 2nd brand speaker JBL FLIP 4 and had no difficulty hearing it anywhere in the gym.  I then connected two JBL FLIP 4 speakers and the sound was amazing and it filled the gym.You can easily entertain with background music with these speakers.PHONE CONNECTIVITY:I wasn't planning on testing this feature. I didn't think I would use it and there was one review that said it didn't work that well anyway. Well fast forward, I had my phone connected to this speaker and was listening to music while showering and the phone & speaker started ringing. I pushed what I thought was the ignore phone call button on the speaker only to be met with silence from the speaker. I thought what is going on? I then thought let me say hello just to make sure I didnt answer the call. I said Hello and immediately was greeted by someone calling me on business. That was awkward and a little embarrassing. I apologized that I was in the shower. But did ask them if they could hear me okay. They said they could hear me just fine. So, I asked if I could call them back and a better time. So I guess that review saying it didnt work well was wrong. HahaBATTERY LIFE:I usually have my two JBL 4s bluetooth connected to each other AND my music device PLUS i have the speakers turned ALL THE WAY UP...and the battery life is good but not as good as I had read. I'm probably getting 7 hours +/- out of each one before I have to recharge them both.  But they recharge quickly and sound amazing!!PRODUCT QUALITY:The JBL Flip 4 feels really well made, not cheap in any way nor does it look or feel like they cut any corners when making it. It is sturdy and seems like it should last a long time.JBL CONNECT:Starting with the JBL FLIP 4 there is a new feature where other JBL FLIP 4's and newer JBL bluetooth speakers can connect to each other. You can connect up to 100 JBL speakers together for an incredible array of sound.COMPARISON WITH OTHER SPEAKERS:I watched a number of excellent bluetooth speaker reviews and read review articles before finally purchasing these speakers. I really enjoyed 2 YouTuber's video reviews, Oleg's Gadgets and JimsReviewRoom. The best review was on Oleg's Gagets Youtube Channel who played each speaker reviewed with the same song at the same volume level. He did a brilliant job!! You have to listen to his video review with headphones on to get the best sound quality and his audio recording of the speakers was SO GOOD that while he was off screen and walking across his hardwood floor to his couch, I whipped my head around because I thought someone was walking up behind me. I had to double check to make sure it was sound coming from his review and not my house. Lol.Enjoy hours of listening to these speakers!God bless!"
"JBL Flip 4, Black",Durable and loud,4,It’s a nice little speaker but it’s a bit heavy on the bass. The charge 4 is produces a much more balanced sound but the flip is nice and easier to take along to different places.
"JBL Flip 4, Black",Sounds good!!,4,"After 3 full days of usage i like i, the bass very noticeable a litlle better than my treblab hd77 wich is also a great speaker"
"JBL Flip 4, Black",Great sound,5,"I shopped around for a speaker that I could connect to my Alex products.  This was perfect, very portable with quality sound as I move it from room to room. I use it outside listening to music and talk shows. Great for talk shows as I have some difficulty getting a clear sound. Great product.  Good brand."
"JBL Flip 4, Black",Great sound,5,"Great sound, portable, and pairs well with iPhones. Light weight for travel & golfing. Great for backyard parties."
"JBL Flip 4, Black",Awesome speaker,5,I did not expect it to sound so good for such a small speaker. It’s perfect for small or intimate settings
"JBL Flip 4, Black",Teachers! Great for the classroom,5,"I was looking for a classroom speaker that would pack a punch and fill the entire space. This speaker works great in my classroom which is fairly large. It can be turned up loud for presentations, and can be turned down to have study music going. The sound is rich and full. Would highly recommend for those teachers looking for something compact but powerful for their room."
"JBL Flip 4, Black",Great Sound,5,This speaker is worth the money. The battery lasts a long time and the speakers is very durable.
"JBL Flip 4, Black",Great present,5,I got this for my niece and she loves it.
"JBL Flip 4, Black",Very good,4,Very good
"JBL Flip 4, Black",Thank you,5,Bought for a friend
"JBL Flip 4, Black",Powerful Sound JBL,5,Strong sound from the speaker.  No crackeling or faint sounds.  Good speaker for the price!
"JBL Flip 4, Black",Great sound,5,Easy to pair with my phone.  Great quality sounds. I love it.
"JBL Flip 4, Black",Very good stuff,5,You can't go wrong with a JBL product.
"JBL Flip 4, Black",Sound,5,I like how slender it is and small enough to fit just about anywhere.
"JBL Flip 4, Black",high quality great sound,5,"easy to connect, does the job, great sound from a portable speaker"
"JBL Flip 4, Black",Great waterproof speakers,5,Easy to start using and good sound for my purposes
"JBL Flip 4, Black",Great!,5,Works perfect. Great jbl quality
"JBL Flip 4, Black",Great sound,5,"I just got this for use in my bathroom. It's connected to power and wired to Alexa. The sound is great, so happy I can hear it over the shower."
"JBL Flip 4, Black",Great product,5,JBL makes a great speaker
"JBL Flip 4, Black",10/10,5,Been having this speaker for years and it’s still going strong
"JBL Flip 4, Black",Blue tooth  speaker,5,Works great. Great sound
"JBL Flip 4, Black",Stop searching - 95% perfect speaker,5,"This summer I needed a new BT speaker and I tried a bunch of them in this size range and this one is by far my favorite.  It's about 95% perfect, which is about 50% better than all the others I tried.  It sounds AMAZING - it's among the loudest of the bunch, and it definitely has some of the best bass of them all thanks to the TWO side-mounted bass radiators.  It sounds better than all of the cheaper models, as well as better than most of the more expensive models.  Probably the SONOS and Bose Soundlink Mini sound better, but they are considerably more expensive and are not waterproof.  That's the thing - the FLIP 4 checks pretty much every box except two, which are relatively minor flaws.  I wanted something rugged, with a decent battery, good controls, great sound, and that was not too bulky.  Probably what we are all looking for.PROS:Form factor - the beer-can size and shape is the best for carrying around.  The attached lanyard makes it even better, as you can hang it or swing it.Sound - incredibly rich, best-in-class bass, and great definition all around.  Gets loud, too.Build quality - this thing is waterproof and dustproof, and feels pretty indestructibeBT controls/features - easy-to-use buttons control volume, music, and speakerphone, as well as letting you link multiple JBL speakers.  Newest BT version (4.2)Battery - lasts all day, supposedly 12 hours, but varies by usage - and I've yet to have a problemCONS:No REW/Previous track.  This is what bothers me the most, I just don't understand why this isn't implemented somewhere.Directional, rather than 360-degree sound.  Not sure if I care.Other speakers I compared this to were the Marley Chant, two different iHome speakers, an old Bose Soundlink Mini, a Philips Shoqbox, something by OutdoorTech, a Magnavox speaker, and the UE Boom2.  I also spent way too much time researching other models online.  All of them had more shortcoming than this one - most just sounded worse or were underpowered, many were not waterproof or had lousy batteries, or no music controls.  Only a few let you link multiple speakers together.The speaker I bought first was the UE BOOM 2, because it gets the best reviews.  It costs at least $50 more than this and does not sound as clear.  It is a little more stylish I guess, and has a similar app to the JBL and is well supported by firmware and software updates.  However, it uses a stupid ""tap"" system to pause and FF (also no REW) that rarely worked.  The JBL has nice big buttons that work great.  Dedicated volume buttons control speaker/source volume, and double-pressing the play button skips a track.  I would LOVE a REW feature, a triple tap would do it, but I can ultimately live without it.  Ultimately, the UE BOOM 2 was not worth the extra money - it sounded worse in most situations (it was possibly louder and has 360-degree sound), and was infuriating to control.None of the cheaper speakers sounded better than this.  There was one, the MagicBox I think, that was louder than all of them and has awesome buttons for volume and music, but it's not waterproof at all.  The Fugoo looks amazing but it is only 6 Watts total, which is never going to be loud enough for anything other than a personal speaker.There are bigger speakers out there that have additional features like external charging and last for 24 hours at a time and pump out considerably more decibels, but they are also too big to fit my needs.  Honestly this one is nearly perfect, and maybe they can add REW in the future via an update and get it 100% right."
"JBL Flip 4, Black",great Sound,4,"For a relatively low-end speaker this has great sound quality. Four rather than five stars because there is no indicator as to when the battery is fully, or better yet, mostly charged. That said, I would buy it again."
"JBL Flip 4, Black",Live my little speaker!,5,Nice and loud
"JBL Flip 4, Black",I gave it a 10.,5,It is perfect for me.
"JBL Flip 4, Black",Great speaker,5,"Good quality sound, practical and easy to set up"
"JBL Flip 4, Black",It’s a JBL so I have no worries,5,"The media could not be loaded.
                



 The sound quality is amazing. I was going to get one of those cheaper speakers but I knew I would only disappoint myself in the long run so I just went for it. You should too, you won’t regret it. Comes with a cute red charger."
"JBL Flip 4, Black",Sounds Great,4,Use at work and connects easy as Bluetooth speaker to phone.
"JBL Flip 4, Black",Can't go wrong,5,Excellent product.
"JBL Flip 4, Black",worth every cent,5,"sounds better than my $200 sound bar and has better volume control. perfect size for travel and easy to clean despite having the white colored speaker. don't waste your money on a cheaper speaker even if it is half the cost of this one; the quality is exponentially greater and worth the price. i'd pay $20 more for this speaker, but the price they ask for for this model 4 is such a steal since the model 5 is out now!"
"JBL Flip 4, Black",Highly recommend,5,I love the clear well-balanced sound quality of this  speaker.  It's better than my UE Megaboom speaker which it's replacing.  Five stars all the way around.
"JBL Flip 4, Black",This  speaker pounds freaking good now I can hear where my  money went.,5,
"JBL Flip 4, Black",The device volume keeps decreasing... once I turn it up it goes down,4,"I will be honest, the sound quality is excellent, easy to connect but I realized that after a while it disconnects every now and again, I've used different devices to see if my phone was the issue but I realized that it wasn't. The other issue is that the volume decreases by itself every now and again, sometimes when I'm increasing the volume it turns it down to 0 immediately after or while I'm turning it up."
"JBL Flip 4, Black",Perfecta,4,Súper le doy un 10 de 10
"JBL Flip 4, Black",Optimal sound quality,5,"The media could not be loaded.
                



 Amazing sound quality, I bought this for my trip to Florida! Glad I bought this, here's a video of the sound quality!"
"JBL Flip 4, Black",Make sure to go over your Amazon purchase carefully thx.,5,I wanted the bigger speakers not these but that's ok that's my fault for not going over my order. I'll get the bigger JBL speakers next pay day thx.
"JBL Flip 4, Black",Good but…,4,My husband got this to replace our larger JBL speaker but regretting it now. Sound quality is good and battery life is long but we use the speaker in our hot tub and don’t bring our cell phones in and the location of the controls to turn up or down the sound and to forward to another song are on the bottom vs the top. Hard to find in the dark and not a convenient location overall. Wish we would have returned to get the larger speaker. We had our larger speaker for about 5 years and it won’t charge now. Not happy about that either. Seems a speaker should last longer than that before having to be replaced.
"JBL Flip 4, Black",Excellent Sound,5,Really easy to use for sound amplification.
"JBL Flip 4, Black",U can connect them but I don’t advice it,3,I had 1. It’s super nice. So nice I decided to get a 2nd one. BIG MISTAKE.  I have a hard time keeping both playing wt out interference from some other device unrelated to mines.  N if I turn the music off for less then 10 minutes it’s a b**** to get them to play again. Over all not a good experience like when I only had 1.
"JBL Flip 4, Black",This speaker jams hard.,5,I love the sound quality and the ease with which I can toggle between earbuds and the player. Very easy.
"JBL Flip 4, Black",Worth it!!,5,"I love this speaker, it’s so loud and good quality of music."
"JBL Flip 4, Black",5 is BETTER,4,"These are great but for some reason the 5 isn’t available: they do fail after a year or so if used a lot. Still, the sound quality is pretty good for the price and I use mine all the time."
"JBL Flip 4, Black",Great Speaker,5,This speaker is awesome. I work at home and it's great to play music on.
"JBL Flip 4, Black",Great sound and great speaker,5,"I bought this speaker originally as a present for my sister's iPod use. All through December we played Christmas music everywhere in the house for hours on end (without a plug and using bluetooth). It worked great. The sound was loud as our stereo and very clear. No hums or metallic sounds.At Christmas this year, I bought 2 more, for a laptop with a lousy speaker system and an mpg player with a book on tape. Both the quiet spoken word and low-woofer symphonic music sounds perfect on this device. I highly recommend."
"JBL Flip 4, Black",Sound is SUPER GREAT!,5,Can’t go wrong with JBL!!!
"JBL Flip 4, Black",JBL Flip 4 Speaker.,5,"Update July 11 2020I haven't even used this speaker up until recently. The battery is only lasting about 4 hrs. I bought my son one before I bought mine and his last about 12 hrs. He uses his a lot. I'm really bummed out and I paid more for mine than I did his. Bought from this same place.Update June 25,2019:You are suppose to be able  To connect up to a 100 speakers with the JBL connect app.  My son is here and I tried connecting both of them and it doesn't work it just keep spinning and says discovering. They are both connected to Bluetooth in my phone. But it won't even pick up just one speaker. Any suggestions?I just recieved this today. So this is an out of box review. I will update later on batterie life and usage durability Etc.I bought this for my son for Christmas. Tried it out and I'm very impressed! It paired up quickly and easily to my phone. I played music through my samsung music app. Most music apps have a equalizer in them so you can make adjustments on the bass and treble. So those that have concerns... problem solved. The sound was pretty loud for such a small speaker.  I like that you can pair up more than one speaker. Because you can set the speakers in different rooms of the house and have music in every room and not have to worry about hearing it just from one speaker.I live in a small two-bedroom condo now so I had to take down my Mackie SRM 450 speakers and my equipment. I own a karaoke and DJ business. I have a really nice Bose SoundDock that I've been using for just everyday listening but it's heavy and bigger to take over to the pool. It's not waterproof and you can't hook up more speakers. This JBL Flip 4 is lightweight compact you can take it over to the pool and not have to worry about it getting wet because it's waterproof. I have not been able to test that but I have seen other reviews where that has been tested and they do prove to be waterproof. You can take it anywhere. It will fit in your purse.Bluetooth is probably the best technology that's ever come out. No more wires or cables.  And I can play the music that's on my phone and walk anywhere around the house I want with my phone or tablet because I'm not connected to the speaker. For the money this was a fantastic deal and well worth it. I've always been a fan of JBL speakers for centuries. I think they really outdid themselves with this. Now I want to buy some for myself. I also bought him a hard shelled carrying case for the speaker and his accessories the USB cable and the plug. The plug does not come with it but if you own a smartphone you probably already have one. And you can also buy just a plug. You could possibley use a USB charging cable in your car as well."
"JBL Flip 4, Black",Good thing come in little packages,4,Love the built in handle.  Great sound comes from this portable speaker.  Indoor or outdoor
"JBL Flip 4, Black",Doesn't Dual Connect,4,I am normally able to connect 2 Bluetooth devices on my phone. So I play the same music upstairs as I play on my downstairs system. This speaker wouldn't allow the dual connection as a prior JPL did.  That was a disappointment.
"JBL Flip 4, Black",Satisfied customer,5,Probably the best Bluetooth speaker I’ve ever owned the sound is rich and I love the red color!! Couldn’t have selected a better one and the price was very affordable ????
"JBL Flip 4, Black",Perfect size amazing overall,5,amazing quality
"JBL Flip 4, Black",The only speaker i’ll ever need,5,"words cannot express how in love i am with this speaker. it’s absolutely amazing, it sounds good, it connects to my phone instantly, and it’s portable."
"JBL Flip 4, Black",It's Worth it.,4,"Clear sound and love base, quick connection, long life of battery. However, it is so round when it is lay flat rolling way."
"JBL Flip 4, Black",Terrific speaker at its price point.,5,"My sense is that there is no limit to the amount of money people can spend on sound systems and wine, so I am reviewing this speaker with the caveat that it fit my budget for the purpose I want it.  Could I wish it had a little more bass?  Sure, especially when playing the blues.  But even then, some blues recordings are rich enough to sound just fine with this speaker, and the other blues recordings are good enough.  But when playing classical and jazz, I really have no complaints.  I find it attractive, easily portable (I bought a carrying case and insured it as well, for extra peace of mind) and it allows me to hear and share all the music I have on my iPhone.  I also found it very easy to link via bluetooth.  I'm very pleased!  If I have trouble with the battery, I'll add to this review."
"JBL Flip 4, Black",Good Product!,5,"My kids recommended I get this JBL speaker so I could hear the computer while I worked around the house.  I actually managed to get it to recognize the computer (I so don't understand this electronic stuff) and, WOW, was I impressed.  The sound is fantastic!  Both music and voice is totally different from the pathetic computer speakers!  I can use it in my studio, downstairs, anywhere in the house and it never loses the connect to my computer!  The unit feels solid and substantial and I think it'll last a long, long time.  Thinking of getting another ...the kids say it'll be like surround sound!"
"JBL Flip 4, Black",Great product,5,Ended up buying four of them.
